"","ID","bigelow_id","estuary","estuary_order","latitude","longitude","is_phyto"
"1","3/4 BUOY","BUOY","Saco",3,43.477,-70.315,TRUE
"2","BRE 1",,"Bagaduce",1,44.4391,-68.7293,FALSE
"3","BRE 2",,"Bagaduce",2,44.421,-68.737,FALSE
"4","BRE 4",,"Bagaduce",4,44.402,-68.774,FALSE
"5","BRE 5",,"Bagaduce",5,44.378,-68.83,FALSE
"6","DRE 1",,"Damariscotta",1,44.03,-69.5371,FALSE
"7","DRE 2","LOBO1","Damariscotta",2,44,-69.54,TRUE
"8","DRE 3",,"Damariscotta",3,43.973,-69.571,FALSE
"9","DRE 4","LOBO2","Damariscotta",4,43.934,-69.583,TRUE
"10","DRE 5","UNE3","Damariscotta",5,43.843,-69.571,TRUE
"11","NME CB4",,"New Meadows",4,43.864,-69.898,FALSE
"12","NME CBO1",,"New Meadows",1,,,FALSE
"13","NME CBO2",,"New Meadows",2,43.773,-69.887,FALSE
"14","NME CBO3",,"New Meadows",3,,,FALSE
"15","RAM","RAM","Saco",1,43.466,-70.359,TRUE
"16","Wood","WOOD","Saco",2,43.457,-70.345,TRUE
